2026-05-19 19:06:51,329 | INFO | __main__ | Loading processed training data from C:\Users\chumm\Documents\Bank\fraud-detector\data\processed
2026-05-19 19:06:51,556 | INFO | __main__ | Training with balance method: smote
2026-05-19 19:06:51,556 | INFO | __main__ | Training model: logistic_regression
2026-05-19 19:06:52,866 | INFO | __main__ | Training model: random_forest
2026-05-19 19:06:54,278 | INFO | __main__ | Training model: xgboost
2026-05-19 19:07:23,315 | INFO | __main__ | Loading processed training data from C:\Users\chumm\Documents\Bank\fraud-detector\data\processed
2026-05-19 19:07:23,425 | INFO | __main__ | Training with balance method: smote
2026-05-19 19:07:23,425 | INFO | __main__ | Training model: logistic_regression
2026-05-19 19:07:24,019 | INFO | __main__ | Training model: random_forest
2026-05-19 19:07:25,187 | INFO | __main__ | Training model: xgboost
2026-05-19 19:07:26,515 | INFO | __main__ | Training complete. Best model: random_forest
2026-05-19 19:08:08,484 | INFO | __main__ | Loading processed training data from C:\Users\chumm\Documents\Bank\fraud-detector\data\processed
2026-05-19 19:08:08,599 | INFO | __main__ | Training with balance method: smote
2026-05-19 19:08:08,796 | INFO | __main__ | Training model: logistic_regression
2026-05-19 19:08:09,309 | INFO | __main__ | Training model: random_forest
2026-05-19 19:08:10,445 | INFO | __main__ | Training model: xgboost
2026-05-19 19:08:11,776 | INFO | __main__ | Training complete. Best model: random_forest
